input_id	dealiased_id	standard_id	short_id
PMID:7834742	PMID:7834742	pubmed:7834742	1702qWji0
PMID:30670634	PMID:30670634	pubmed:30670634	D89IOQyu
PMID:23532336	PMID:23532336	pubmed:23532336	5KmfVMCw
PMID:31126969	PMID:31126969	pubmed:31126969	t6scDoJj
PMID:30445427	PMID:30445427	pubmed:30445427	f3o81IaL
PMID:17570479	PMID:17570479	pubmed:17570479	1CITWSvkw
PMID:12824383	PMID:12824383	pubmed:12824383	Su0yt3JY
PMID:30670635	PMID:30670635	pubmed:30670635	P0XQ2b0s
PMID:19921851	PMID:19921851	pubmed:19921851	4f8G3SbH
PMID:32649875	PMID:32649875	pubmed:32649875	ewa3xhd4
PMID:32649874	PMID:32649874	pubmed:32649874	Ggt8FNRS
PMID:14668868	PMID:14668868	pubmed:14668868	DVNheP3U
PMID:19589966	PMID:19589966	pubmed:19589966	j9eQPfet
PMID:10945990	PMID:10945990	pubmed:10945990	jW9Cwxfq
PMID:20159853	PMID:20159853	pubmed:20159853	R5sdZXm8
PMID:31124786	PMID:31124786	pubmed:31124786	h7XI6XcI
PMID:15782149	PMID:15782149	pubmed:15782149	wUjaVTmV
PMID:26551075	PMID:26551075	pubmed:26551075	gYP9Gpwi
PMID:18765831	PMID:18765831	pubmed:18765831	XkcIGLbK
PMID:31959955	PMID:31959955	pubmed:31959955	1CAsv2YaF
PMID:22028470	PMID:22028470	pubmed:22028470	HgmaqMVG
PMID:22040655	PMID:22040655	pubmed:22040655	ZIstAG1r
PMID:24921005	PMID:24921005	pubmed:24921005	1563Ps2iZ
PMID:30884815	PMID:30884815	pubmed:30884815	frubowLH
PMID:18381407	PMID:18381407	pubmed:18381407	fWhtbxpo
PMID:23842644	PMID:23842644	pubmed:23842644	aG54kP6W
PMID:25852190	PMID:25852190	pubmed:25852190	sf0tBKVd
PMID:20164059	PMID:20164059	pubmed:20164059	1Bu1guxLX
PMID:27306791	PMID:27306791	pubmed:27306791	17QfmaEkN
PMID:22267551	PMID:22267551	pubmed:22267551	1UIt7EAA
PMID:17676035	PMID:17676035	pubmed:17676035	11bgLfbny
PMID:20551165	PMID:20551165	pubmed:20551165	1DOj8GdC6
PMID:24613344	PMID:24613344	pubmed:24613344	1TTuawsr
PMID:20551060	PMID:20551060	pubmed:20551060	M3dxE1vk
PMID:21532627	PMID:21532627	pubmed:21532627	eQIlwnjX
PMID:20919528	PMID:20919528	pubmed:20919528	X9fj6E2N
PMID:27064441	PMID:27064441	pubmed:27064441	dV6PKXoq
PMID:23006319	PMID:23006319	pubmed:23006319	1GoPZmw6b
PMID:22675169	PMID:22675169	pubmed:22675169	V6txFd6T
PMID:23132295	PMID:23132295	pubmed:23132295	SMyQ7lQi
PMID:21791641	PMID:21791641	pubmed:21791641	13s4Fnh0b
PMID:27707887	PMID:27707887	pubmed:27707887	OFi5gkLd
PMID:29141660	PMID:29141660	pubmed:29141660	oDPNDPlI
PMID:15585887	PMID:15585887	pubmed:15585887	kQ3GsiVA
PMID:30395540	PMID:30395540	pubmed:30395540	P9l0l2Iw
PMID:10652349	PMID:10652349	pubmed:10652349	qkFzZLTE
PMID:31988467	PMID:31988467	pubmed:31988467	nHwwoaZ0
PMID:23732701	PMID:23732701	pubmed:23732701	IeA9XieB
PMID:29773717	PMID:29773717	pubmed:29773717	YLezYGM1
PMID:25750696	PMID:25750696	pubmed:25750696	QJFQ9RQQ
PMID:29547119	PMID:29547119	pubmed:29547119	bRPGEQL4
PMID:32033228	PMID:32033228	pubmed:32033228	dbN6HcER
PMID:30979792	PMID:30979792	pubmed:30979792	12p8KTQaG
PMID:21859630	PMID:21859630	pubmed:21859630	1AT5pt9hP
PMID:16273072	PMID:16273072	pubmed:16273072	tatP35Vj
16273072	16273072	pubmed:16273072	tatP35Vj
DOI:10.1101/635029	DOI:10.1101/635029	doi:10.1101/635029	17tuo8dIX
PMID:10802651	PMID:10802651	pubmed:10802651	IFevKgND
PMID:33290552	PMID:33290552	pubmed:33290552	1FmAqWcpa
